antecedents,consequents,support,confidence,lift,conviction
REGENCY SUGAR BOWL GREEN,REGENCY MILK JUG PINK,0.01013048505202885,0.7634854771784233,56.600762130578374,4.171037901420954
REGENCY MILK JUG PINK,REGENCY SUGAR BOWL GREEN,0.01013048505202885,0.7510204081632653,56.600762130578374,3.9631009898523666
REGENCY TEA PLATE GREEN,REGENCY TEA PLATE ROSES,0.011396795683532456,0.8414634146341463,50.77574750830565,6.2031602708803595
REGENCY TEA PLATE ROSES,REGENCY TEA PLATE GREEN,0.011396795683532456,0.6877076411960132,50.77574750830564,3.158757984726958
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE BEDROOM,0.010901282827726698,0.8114754098360656,48.00921129919367,5.214691118350972
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE LIVINGROOM,0.010901282827726698,0.6449511400651465,48.00921129919367,2.778676985726098
SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,0.012608049331057644,0.7246835443037976,47.34686048629452,3.576590276683495
SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,0.012608049331057644,0.8237410071942446,47.34686048629451,5.574762327989061
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE KITCHEN,0.011451852667510873,0.8524590163934426,46.080991412958625,6.652394672930925
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM,0.011451852667510873,0.6190476190476191,46.080991412958625,2.589736001761824
CHILDRENS CUTLERY DOLLY GIRL,CHILDRENS CUTLERY SPACEBOY,0.011231624731597204,0.7756653992395438,45.30035577616667,4.381300408634803
CHILDRENS CUTLERY SPACEBOY,CHILDRENS CUTLERY DOLLY GIRL,0.011231624731597204,0.6559485530546624,45.30035577616667,2.864455365508909
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.013544018058690745,0.8013029315960911,43.31567007910656,4.939684622764887
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.013544018058690745,0.7321428571428571,43.31567007910655,3.670230688762869
PINK VINTAGE PAISLEY PICNIC BAG,SCANDINAVIAN PAISLEY PICNIC BAG,0.010681054891813027,0.697841726618705,41.01909152289819,3.253220178122452
SCANDINAVIAN PAISLEY PICNIC BAG,PINK VINTAGE PAISLEY PICNIC BAG,0.010681054891813027,0.627831715210356,41.01909152289819,2.6458303909763994
SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,0.012222650443208721,0.7789473684210526,39.74163217031342,4.435141561992853
SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL,0.012222650443208721,0.6235955056179775,39.741632170313416,2.6150292418324605
FELTCRAFT CUSHION BUTTERFLY,FELTCRAFT CUSHION RABBIT,0.010681054891813027,0.6830985915492959,39.26303708325906,3.100655178109344
FELTCRAFT CUSHION RABBIT,FELTCRAFT CUSHION BUTTERFLY,0.010681054891813027,0.6139240506329114,39.26303708325906,2.5496636559823025
BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,0.01343390409073391,0.7134502923976608,37.34408547786373,3.4231241579933185
PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING,0.01343390409073391,0.7031700288184438,37.34408547786373,3.305496771682964
WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.011892308539338215,0.8181818181818182,35.722683566433574,5.374029620657382
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN,0.011892308539338215,0.5192307692307693,35.722683566433574,2.0497671089577714
SET OF 6 SNACK LOAF BAKING CASES,SET OF 12 MINI LOAF BAKING CASES,0.010350712987942521,0.6738351254480287,34.86856804419529,3.0066848858898636
SET OF 12 MINI LOAF BAKING CASES,SET OF 6 SNACK LOAF BAKING CASES,0.010350712987942521,0.5356125356125356,34.868568044195285,2.120296470036672
RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB,0.011286681715575621,0.6446540880503144,33.93870203263148,2.760705294581662
BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,0.011286681715575621,0.5942028985507246,33.938702032631475,2.4211407020551983
